NFILES,NSKIPPED,NCHECKED,NBLOOMMISSES,NBLOOMHITS,NFALSEPOSITIVE,NPOSITIVE,NRECORDS
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,23,1,0,1,1
4842,4818,24,24,0,0,0,0
4842,4818,24,22,2,0,2,2
4842,4818,24,19,5,0,5,6
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,1,23,0,23,673
4842,4818,24,24,0,0,0,0
4842,4818,24,23,1,0,1,1
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,23,1,0,1,1
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,23,1,0,1,1
4842,4818,24,24,0,0,0,0
4842,4818,24,22,2,0,2,2
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,21,3,0,3,4
4842,4818,24,24,0,0,0,0
4842,4818,24,22,2,0,2,3
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,23,1,0,1,1
4842,4818,24,24,0,0,0,0
4842,4818,24,22,2,0,2,2
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,22,2,0,2,2
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,21,3,0,3,3
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,23,1,0,1,1
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,21,3,0,3,10
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,23,1,0,1,1
4842,4818,24,22,2,0,2,2
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,22,2,0,2,2
4842,4818,24,24,0,0,0,0
4842,4818,24,22,2,0,2,2
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,23,1,0,1,11
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,23,1,0,1,1
4842,4818,24,24,0,0,0,0
4842,4818,24,22,2,0,2,2
4842,4818,24,22,2,0,2,2
4842,4818,24,14,10,0,10,32
4842,4818,24,23,1,0,1,4
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,22,2,0,2,2
4842,4818,24,24,0,0,0,0
4842,4818,24,23,1,0,1,1
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,20,4,0,4,15
4842,4818,24,23,1,0,1,1
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,22,2,0,2,2
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,22,2,0,2,2
4842,4818,24,23,1,0,1,1
4842,4818,24,23,1,0,1,5
4842,4818,24,24,0,0,0,0
4842,4818,24,23,1,0,1,1
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,23,1,1,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,21,3,0,3,4
4842,4818,24,24,0,0,0,0
4842,4818,24,20,4,0,4,7
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,18,6,0,6,15
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,23,1,1,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,23,1,0,1,1
4842,4818,24,21,3,0,3,5
4842,4818,24,23,1,0,1,2
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,20,4,1,3,8
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,23,1,0,1,1
4842,4818,24,22,2,0,2,3
4842,4818,24,20,4,0,4,5
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,22,2,0,2,2
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,22,2,0,2,2
4842,4818,24,22,2,0,2,2
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,23,1,0,1,1
4842,4818,24,23,1,0,1,5
4842,4818,24,21,3,0,3,3
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,22,2,0,2,3
4842,4818,24,20,4,0,4,5
4842,4818,24,24,0,0,0,0
4842,4818,24,21,3,0,3,4
4842,4818,24,23,1,0,1,2
4842,4818,24,22,2,0,2,2
4842,4818,24,23,1,1,0,0
4842,4818,24,21,3,0,3,3
4842,4818,24,22,2,1,1,1
4842,4818,24,21,3,0,3,4
4842,4818,24,24,0,0,0,0
4842,4818,24,18,6,0,6,7
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,23,1,0,1,1
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,20,4,0,4,8
4842,4818,24,20,4,0,4,5
4842,4818,24,21,3,0,3,5
4842,4818,24,20,4,0,4,9
4842,4818,24,23,1,1,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,22,2,0,2,6
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,21,3,0,3,5
4842,4818,24,23,1,0,1,1
4842,4818,24,24,0,0,0,0
4842,4818,24,10,14,0,14,83
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,23,1,0,1,1
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,23,1,0,1,1
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,23,1,0,1,2
4842,4818,24,22,2,0,2,2
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,22,2,0,2,2
4842,4818,24,23,1,0,1,1
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,21,3,0,3,4
4842,4818,24,24,0,0,0,0
4842,4818,24,22,2,0,2,5
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,21,3,0,3,4
4842,4818,24,24,0,0,0,0
4842,4818,24,14,10,0,10,15
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,22,2,0,2,2
4842,4818,24,22,2,0,2,3
4842,4818,24,24,0,0,0,0
4842,4818,24,22,2,0,2,5
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,22,2,0,2,2
4842,4818,24,23,1,0,1,1
4842,4818,24,24,0,0,0,0
4842,4818,24,23,1,1,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,23,1,1,0,0
4842,4818,24,22,2,0,2,3
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,22,2,0,2,2
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,23,1,0,1,1
4842,4818,24,24,0,0,0,0
4842,4818,24,20,4,0,4,6
4842,4818,24,21,3,1,2,2
4842,4818,24,24,0,0,0,0
4842,4818,24,21,3,0,3,5
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,23,1,0,1,1
4842,4818,24,22,2,0,2,2
4842,4818,24,24,0,0,0,0
4842,4818,24,23,1,0,1,1
4842,4818,24,22,2,0,2,3
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,23,1,0,1,5
4842,4818,24,23,1,0,1,1
4842,4818,24,23,1,0,1,1
4842,4818,24,24,0,0,0,0
4842,4818,24,20,4,0,4,9
4842,4818,24,24,0,0,0,0
4842,4818,24,23,1,0,1,1
4842,4818,24,23,1,0,1,15
4842,4818,24,24,0,0,0,0
4842,4818,24,23,1,0,1,2
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,23,1,0,1,1
4842,4818,24,22,2,0,2,6
4842,4818,24,21,3,0,3,6
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,23,1,0,1,1
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,23,1,0,1,1
4842,4818,24,24,0,0,0,0
4842,4818,24,22,2,0,2,2
4842,4818,24,6,18,0,18,42
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,23,1,0,1,1
4842,4818,24,22,2,0,2,3
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,18,6,0,6,11
4842,4818,24,22,2,0,2,4
4842,4818,24,24,0,0,0,0
4842,4818,24,23,1,0,1,1
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,22,2,0,2,2
4842,4818,24,22,2,0,2,3
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,22,2,0,2,5
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,22,2,0,2,3
4842,4818,24,24,0,0,0,0
4842,4818,24,21,3,0,3,15
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,14,10,0,10,14
4842,4818,24,22,2,0,2,2
4842,4818,24,24,0,0,0,0
4842,4818,24,24,0,0,0,0
4842,4818,24,10,14,0,14,24
