NFILES,NSKIPPED,NCHECKED,NBLOOMMISSES,NBLOOMHITS,NFALSEPOSITIVE,NPOSITIVE,NRECORDS
4818,4752,66,61,5,0,5,5
4818,4752,66,64,2,0,2,3
4818,4752,66,65,1,0,1,1
4818,4752,66,38,28,0,28,108
4818,4752,66,55,11,0,11,15
4818,4752,66,66,0,0,0,0
4818,4752,66,63,3,0,3,3
4818,4752,66,59,7,0,7,26
4818,4752,66,6,60,0,60,481
4818,4752,66,63,3,0,3,3
4818,4752,66,63,3,0,3,3
4818,4752,66,56,10,0,10,12
4818,4752,66,66,0,0,0,0
4818,4752,66,65,1,0,1,1
4818,4752,66,60,6,0,6,6
4818,4752,66,65,1,0,1,2
4818,4752,66,64,2,1,1,1
4818,4752,66,65,1,0,1,1
4818,4752,66,63,3,0,3,3
4818,4752,66,62,4,0,4,6
4818,4752,66,62,4,0,4,4
4818,4752,66,63,3,0,3,4
4818,4752,66,64,2,0,2,2
4818,4752,66,65,1,0,1,1
4818,4752,66,61,5,0,5,6
4818,4752,66,55,11,0,11,13
4818,4752,66,46,20,0,20,24
4818,4752,66,65,1,0,1,2
4818,4752,66,1,65,0,65,1345
4818,4752,66,32,34,0,34,75
4818,4752,66,64,2,0,2,2
4818,4752,66,65,1,0,1,1
4818,4752,66,59,7,0,7,7
4818,4752,66,63,3,0,3,3
4818,4752,66,65,1,0,1,1
4818,4752,66,40,26,0,26,36
4818,4752,66,61,5,0,5,5
4818,4752,66,66,0,0,0,0
4818,4752,66,65,1,0,1,2
4818,4752,66,61,5,0,5,5
4818,4752,66,63,3,0,3,5
4818,4752,66,65,1,0,1,1
4818,4752,66,66,0,0,0,0
4818,4752,66,51,15,0,15,21
4818,4752,66,42,24,0,24,30
4818,4752,66,62,4,0,4,7
4818,4752,66,60,6,0,6,21
4818,4752,66,52,14,0,14,18
4818,4752,66,60,6,0,6,7
4818,4752,66,62,4,0,4,12
4818,4752,66,65,1,0,1,1
4818,4752,66,62,4,0,4,8
4818,4752,66,64,2,0,2,2
4818,4752,66,42,24,0,24,34
4818,4752,66,66,0,0,0,0
4818,4752,66,58,8,0,8,9
4818,4752,66,51,15,0,15,23
4818,4752,66,63,3,0,3,8
4818,4752,66,65,1,0,1,1
4818,4752,66,0,66,0,66,2019
